Centro Poblado,Aeropuerto,Distancia(Km),Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,Tipo_Cobertura
ABASTICOS,EL DORADO,34.4490837685403,True,VILLA GEORGINA,36.2106614000918,SAN MARTIN,87.8515968551185,VANGUARDIA,51.6883416180031,EL DORADO,34.4490837685403,Internacional
ACAPULCO,HORIZONTES,3.30402959375963,True,HORIZONTES,3.30402959375963,COLONIZADORES,141.02501304312,YARIGUIES,74.4304171986738,PALONEGRO,14.2111163795027,Internacional
ACEVEDO,CONTADOR,22.6532566970602,True,LA JAGUA,43.6493625266892,CONTADOR,22.6532566970602,GUSTAVO ARTUNDUAGA PAREDES,43.3237402716814,BENITO SALAS,143.390689536798,Regional
BARRO BLANCO,SAN BERNARDO,25.3697141388984,True,SAN BERNARDO,25.3697141388984,LAS BRUJAS,71.8220061729186,LOS GARZONES,144.989267076566,RAFAEL NUÑEZ,152.243581933441,Aeródromo
EL CERRO,ANTONIO NARIÑO,38.0781434211722,True,EL GUAYABAL,71.3016456197922,JUAN CASIANO,109.195513154648,ANTONIO NARIÑO,38.0781434211722,ALFONSO BONILLA ARAGON,240.676994865676,Nacional
AGUA BONITA,VILLA GEORGINA,7.73050896203633,True,VILLA GEORGINA,7.73050896203633,SANTIAGO VILA,54.7579608123635,VANGUARDIA,84.3176710618212,EL DORADO,36.1004278601308,Internacional
EL PLAN,ALFONSO LOPEZ PUMAREJO,23.2148253274297,True,SAN JUAN DEL CESAR,31.9749980192931,JORGE ISAACS (LA MINA),189.831570369287,ALFONSO LOPEZ PUMAREJO,23.2148253274297,ALMIRANTE PADILLA,119.388680858664,Nacional
AGUA LINDA,CAMILO DAZA,16.4026289132759,True,CINERA,43.6742546493805,AGUAS CLARAS,110.475454725398,YARIGUIES,165.537513072767,CAMILO DAZA,16.4026289132759,Internacional
AGUANICA,FLAMINIO S. CAMACHO,13.6553491468359,True,FLAMINIO S. CAMACHO,13.6553491468359,JOSE CELESTINO,97.9296964949602,VANGUARDIA,97.5521278643301,EL DORADO,28.1545846028419,Internacional
AIMARAL,ALMIRANTE PADILLA,14.5714039199428,True,SHANGRI-LA,44.5168192871937,PUERTO BOLIVAR,118.520239172684,ALFONSO LOPEZ PUMAREJO,129.317355513779,ALMIRANTE PADILLA,14.5714039199428,Internacional
EL LLANO,BUENAVENTURA-GERARDO TOBAR LOPEZ,9.92784300922365,True,EDGAR CALDAS POTES-CA,61.7323490394532,FARFAN HERIBERTO GIL MAR,95.7008327445712,BUENAVENTURA-GERARDO TOBAR LOPEZ,9.92784300922365,ALFONSO BONILLA ARAGON,72.4122624243147,Nacional
ALASKA,SAN ROQUE  - CA.,13.1830073258331,True,SAN ROQUE  - CA.,13.1830073258331,FARFAN HERIBERTO GIL MAR,23.0006265111197,BUENAVENTURA-GERARDO TOBAR LOPEZ,90.0260593587472,ALFONSO BONILLA ARAGON,44.6935474996501,Regional
LAS CAMELIAS,MORICHITO,14.895444916699,True,MORICHITO,14.895444916699,GUSTAVO VARGAS,46.7086926843324,EL ALCARAVAN,99.6661947344119,PALONEGRO,190.517179830657,Aeródromo
LAS CANOAS,NUEVA ROMA,34.4728908947269,True,NUEVA ROMA,34.4728908947269,LAS BRUJAS,132.441246675237,ALFONSO LOPEZ PUMAREJO,137.994259877552,ERNESTO CORTISSOZ,79.4776232471418,Aeródromo
ALEJANDRÍA,NUEVA ROMA,25.8580598699215,True,NUEVA ROMA,25.8580598699215,LAS BRUJAS,145.491742855807,ALFONSO LOPEZ PUMAREJO,109.256012494505,ERNESTO CORTISSOZ,131.095226009146,Aeródromo
ALTAMAR,FLAMINIO S. CAMACHO,15.4248886590723,True,FLAMINIO S. CAMACHO,15.4248886590723,SANTIAGO VILA,106.325204614854,VANGUARDIA,72.8907549069129,EL DORADO,21.7622326343405,Internacional
ALTAMIRA,HORIZONTES,13.7427968187756,True,HORIZONTES,13.7427968187756,COLONIZADORES,129.290417558113,YARIGUIES,87.1391858081435,PALONEGRO,30.1736314786314,Internacional
