,sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio
274,BOG,BOG,EL DORADO,"Bogotá, D.C.","Bogotá, D.C.",Internacional,4.7017,-74.1469,AEROCIVIL,EN CONCESION CODAD,3800.0,60.0,nan,8356.0,"  320,000",1999-12-09,nan,4E,Aerocivil,1804153.0,11,11001
134,9DG,nan,EL LAGO - CA,Piedras,Tolima,Aeródromo,4.5575,-74.9003,BERNEY RODRIGUEZ,OSMANI RODRIGUEZ CARDOZO,350.0,10.0,500.0,1050.0," 6744,000",2016-12-17,nan,UL,Privado,479797.0,73,73547
803,TLU,TLU,TOLU,Tolú Viejo,Sucre,Regional,9.5095,-75.5859,AEROCIVIL,AEROCIVIL,1350.0,16.0,12202.0,15.0,"  455,000",2000-12-24,nan,2A,Aerocivil,227253.0,70,70823
174,9MK,nan,VILLA ISABELLA,Trinidad,Casanare,Aeródromo,5.2993,-71.3434,RAFAEL QUESADA,TAES LTDA.,800.0,10.0,2000.0,620.0," 4313,000",2018-10-31,nan,1A,Fumigación,493950.0,85,85430
344,CUC,CUC,CAMILO DAZA,San José de Cúcuta,Norte de Santander,Internacional,7.9274,-72.5116,AEROCIVIL,AEROCIVIL -ORIENTE S.A.S.,1920.0,45.0,nan,1027.0,"  984,000",2013-04-28,nan,4D,Aerocivil,91797.0,54,54001
92,9BE,nan,LAS VEGAS,Paz de Ariporo,Casanare,Aeródromo,6.0072,-71.2842,ALEIDA JERONIMO NAVAS,ALEIDA JERONIMO NAVAS,740.0,15.0,3500.0,430.0," 1657,000",2016-11-10,nan,1A,Privado,462527.0,85,85250
860,YPP,nan,GERMAN ALBERTO,Yopal,Casanare,Aeródromo,5.1875,-72.3191,JOSE NELSON PEREZ R.,CELTA LTDA.,800.0,15.0,2000.0,735.0," 4511,000",2018-11-25,2018-11-10,1A,Fumigación,45537.0,85,85001
855,VVU,nan,SANTA ISABEL,Villavicencio,Meta,Aeródromo,3.9873,-73.2091,EFA LTDA.,EFA LTDA.,800.0,10.0,2000.0,689.0," 2634,000",2018-11-27,nan,1A,Fumigación,119198.0,50,50001
10,7GD,nan,VELASQUEZ,Puerto Boyacá,Boyacá,Aeródromo,5.9482,-74.4575,FAC,MANSAROVAR,1500.0,18.0,10000.0,617.0," 2135,000",2016-11-25,nan,3C,Privado,987668.0,15,15572
178,9MO,nan,SAN NICOLAS,Tauramena,Casanare,Aeródromo,4.4703,-72.4575,CARLOS E. CONTRERAS,ASAM LTDA.,840.0,10.0,2000.0,585.0," 4510,000",2012-08-22,nan,1A,Fumigación,244452.0,85,85410
