ano,mes,origen,destino,tipo_equipo,tipo_vuelo,trafico,empresa,vuelos,sillas,carga_ofrecida,pasajeros,carga_bordo
2012,1,BOG,CUC,BE20,T,N,RIO SUR,1.0,0.0,0.0,4.0,100.0
2013,5,UIB,BOG,DH8D,R,N,AIRES,30.0,1110.0,24000.0,873.0,4222.0
2013,10,IBE,BOG,DH8D,R,N,AIRES,98.0,3626.0,56056.0,2866.0,2323.75
2012,4,FLA,BOG,JS32,T,N,SARPA S.A.S,1.0,0.0,0.0,4.0,0.0
2013,7,CUC,AUC,C402,T,N,AEROCHARTER ANDINA S.A.S.,1.0,0.0,0.0,nan,180.0
2012,3,CUC,OCV,C303,T,N,AEROCHARTER ANDINA S.A.S.,6.0,0.0,0.0,6.0,0.0
2013,11,7NS,BOG,B190,T,N,SEARCA S.A.,nan,nan,0.0,149.0,880.0
2010,6,AUC,TME,C206,T,N,SAER,1.0,0.0,0.0,2.0,50.0
2010,4,CLO,BOG,D328,R,N,SERVICIO AEREO A TERRITORIOS NACIONALES SATENA,3.0,96.0,7078.5,2.0,0.0
2013,5,BOG,CLO,JS32,T,N,SARPA S.A.S,1.0,0.0,0.0,10.0,0.0
2013,12,MVP,VVC,AT72,R,N,SERVICIO AEREO A TERRITORIOS NACIONALES SATENA,9.0,621.0,18000.0,569.0,0.0
2013,4,BOG,IPI,D328,R,N,SERVICIO AEREO A TERRITORIOS NACIONALES SATENA,13.0,416.0,19500.0,nan,0.0
2012,6,BOG,FLA,JS32,T,N,SARPA S.A.S,4.0,nan,0.0,11.0,0.0
2011,6,NVA,BOG,BE20,T,N,SEARCA S.A.,2.0,0.0,0.0,11.0,40.0
2010,5,BOG,CTG,M83,R,N,SAM,1.0,142.0,7211.0,107.0,34.0
2010,11,BOG,VVC,AN32,T,N,AER CARIBE LIMITADA,2.0,0.0,0.0,0.0,1687.3999999999999
2013,5,EYP,AUC,JS32,T,nan,SARPA S.A.S,nan,0.0,0.0,18.0,0.0
2013,11,PUU,BOG,AT72,R,N,SERVICIO AEREO A TERRITORIOS NACIONALES SATENA,1.0,70.0,2000.0,29.0,0.0
2011,10,BOG,CLO,C560,T,N,CENTRAL CHARTER,4.0,0.0,0.0,8.0,0.0
2012,10,BOG,ADZ,BE9L,T,N,RIO SUR,1.0,0.0,0.0,2.0,100.0
2011,2,GYM,PCR,C206,T,N,SAER,1.0,0.0,0.0,2.0,20.0
2012,9,CUC,BOG,A320,R,N,AIRES,7.0,1176.0,24500.0,878.0,2256.0
2011,1,IBE,BOG,B190,T,N,SEARCA S.A.,1.0,0.0,0.0,14.0,286.0
2012,8,VUP,BOG,A318,R,N,AVIANCA,70.0,6999.0,476511.75,nan,6775.34
2011,7,EJA,EYP,B190,T,N,SEARCA S.A.,1.0,0.0,0.0,0.0,171.6
2013,5,BMG,VVC,DC3,R,N,AIR COLOMBIA,4.0,0.0,12000.0,0.0,4000.0
2010,10,BOG,CTG,E190,R,N,AEROREPUBLICA,146.0,15434.0,306136.0,13679.0,51179.0
2012,6,SMR,BOG,HAWK,T,N,HELISTAR S.A.S,1.0,0.0,0.0,10.0,0.0
2011,10,AUC,TME,C182,T,N,SAVIARE LTDA,16.0,0.0,0.0,32.0,220.0
2011,4,BOG,VVC,DH8D,R,N,AIRES,45.0,nan,3000.0,1299.0,2985.0
2012,11,VVC,VVC,C172,T,N,TARI,1.0,0.0,0.0,1.0,30.0
2010,6,BOG,PIP,BE20,T,N,SEARCA S.A.,1.0,nan,0.0,8.0,0.0
2010,9,BOG,CTG,M83,R,N,AVIANCA,41.0,5946.0,220702.0,4777.0,11107.0
2011,2,BUN,CLO,PA34,T,N,TARI,1.0,0.0,0.0,2.0,25.0
2013,10,PCR,BOG,AN32,T,N,AER CARIBE LIMITADA,1.0,0.0,0.0,nan,500.0
2010,4,BOG,VVC,B190,T,N,SEARCA S.A.,5.0,0.0,0.0,66.0,1290.0
2012,8,VVC,BOG,D328,R,N,SERVICIO AEREO A TERRITORIOS NACIONALES SATENA,5.0,160.0,3750.0,91.0,7.0
2013,3,VVC,BOG,C208,T,N,VIAS AEREAS NACIONALES VIANA S.A.S.,1.0,0.0,0.0,2.0,0.0
2012,3,TCO,PPN,AN26,T,N,AER CARIBE LIMITADA,1.0,0.0,0.0,0.0,4000.0
2011,3,MTR,BOG,BE9L,T,N,RIO SUR,1.0,0.0,0.0,4.0,0.0
2012,9,CUC,CLO,C414,T,N,AEROLINEAS ALAS DE COLOMBIA LTDA.,1.0,0.0,0.0,4.0,0.0
2013,8,IBE,GYM,PA34,T,N,SAER,1.0,0.0,0.0,1.0,0.0
2010,11,BOG,NVA,F50,R,N,AVIANCA,91.0,4356.0,75928.0,nan,565.0
2012,10,CPL,IBE,PA34,T,N,SAER,3.0,0.0,0.0,6.0,300.0
2010,7,BOG,PCR,E170,R,N,SERVICIO AEREO A TERRITORIOS NACIONALES SATENA,12.0,912.0,28800.0,nan,2237.0
2010,8,BOG,MVP,E170,R,N,SERVICIO AEREO A TERRITORIOS NACIONALES SATENA,4.0,304.0,4800.0,168.0,11491.48
2011,4,PPN,CLO,C402,T,N,AEROEJECUTIVOS DE ANTIOQUIA S.A.,4.0,nan,0.0,12.0,317.0
2012,6,PUU,BOG,JS32,T,N,SARPA S.A.S,1.0,0.0,0.0,3.0,0.0
2010,7,EYP,BOG,B721,R,N,LAS,1.0,0.0,255.0,0.0,254.0
2013,12,MMP,MMP,PA34,T,N,AVIOCESAR,nan,0.0,0.0,3.0,72.0
2013,7,VVC,BOG,BE20,T,N,NACIONAL DE AVIACION S.A.S,1.0,0.0,0.0,7.0,0.0
2013,5,BOG,AUC,BE40,T,N,SEARCA S.A.,1.0,0.0,0.0,8.0,0.0
2011,4,VVC,BOG,B721,R,N,LAS,1.0,0.0,804.0,0.0,802.0
2013,6,IBE,BOG,F50,R,nan,AVIANCA,93.0,4816.0,128047.0,3726.0,368.0
2011,9,BBA,UIB,C206,T,N,AEROEJECUTIVOS DE ANTIOQUIA S.A.,3.0,0.0,0.0,nan,1073.8
2010,10,SVI,VVC,C208,T,N,LLANERA DE AVIACION,1.0,nan,0.0,5.0,0.0
2013,11,CTG,BOG,A320,R,N,AVIANCA,406.0,60899.0,2448069.0,50881.0,92707.0
2013,12,MTR,BOG,A319,R,N,AVIANCA,41.0,4920.0,354781.0,3664.0,8159.0
2013,6,TDA,VVC,PA34,T,N,SAER,1.0,0.0,0.0,1.0,0.0
2010,10,PSO,BOG,F50,R,N,AVIANCA,23.0,1196.0,37927.0,1064.0,170.0
2013,9,CTG,BOG,A318,R,N,AVIANCA,40.0,3999.0,495840.0,nan,49584.0
2012,5,ACR,SVI,D328,R,N,SERVICIO AEREO A TERRITORIOS NACIONALES SATENA,4.0,128.0,3000.0,5.0,0.0
2013,2,CTG,BOG,A320,R,N,FAST COLOMBIA SAS,16.0,2880.0,0.0,2314.0,0.0
2010,6,MFS,VVC,C182,T,N,TARI,1.0,0.0,0.0,1.0,0.0
2010,4,9CU,EYP,C206,T,N,ALPES S.A.S,6.0,0.0,0.0,17.0,450.0
2012,9,EJA,BOG,B190,T,N,SEARCA S.A.,nan,nan,0.0,52.0,630.0
2011,1,NVA,BOG,AN32,R,N,SADELCA,1.0,0.0,6700.0,0.0,2000.0
2011,10,EYP,PUU,B190,T,N,SEARCA S.A.,1.0,0.0,0.0,nan,715.0
2013,2,MQU,BOG,B190,T,N,SEARCA S.A.,nan,0.0,0.0,nan,600.0
2011,3,EJA,EYP,B190,T,N,SEARCA S.A.,1.0,nan,0.0,0.0,800.0
2011,6,VGP,NVA,C210,T,N,SAER,1.0,0.0,0.0,2.0,60.0
2010,10,CLO,PSO,E145,R,N,SERVICIO AEREO A TERRITORIOS NACIONALES SATENA,1.0,50.0,1200.0,17.0,0.0
2011,4,AUC,BOG,E300,T,N,HELI JET SAS,10.0,0.0,0.0,90.0,0.0
2012,5,PCR,BOG,AN32,T,N,AER CARIBE LIMITADA,1.0,nan,0.0,0.0,4000.0
2011,6,BOG,PSO,F50,R,N,AVIANCA,nan,1352.0,7138.0,nan,202.0
2013,7,CLO,BOG,H25B,T,N,CENTRAL CHARTER,1.0,nan,0.0,3.0,0.0
2012,7,NQU,NQU,DHC6,R,N,AEROLINEA DE ANTIOQUIA S.A.,13.0,216.0,2615.0,nan,192.0
2013,4,AUC,OCV,C402,T,N,AEROCHARTER ANDINA S.A.S.,1.0,0.0,0.0,nan,0.0
2011,2,VVC,BMG,C172,T,N,SAVIARE LTDA,nan,nan,0.0,2.0,0.0
2012,5,FLA,BOG,D328,R,N,SERVICIO AEREO A TERRITORIOS NACIONALES SATENA,7.0,224.0,15750.0,nan,0.0
2013,3,AUC,CUC,C402,T,N,AEROCHARTER ANDINA S.A.S.,3.0,0.0,0.0,4.0,0.0
2010,10,CLO,ADZ,A320,C,N,AVIANCA,6.0,nan,13993.0,848.0,77768.6
2013,10,VVC,MVP,C208,T,N,VIAS AEREAS NACIONALES VIANA S.A.S.,1.0,0.0,0.0,9.0,0.0
2013,5,BOG,GPI,B190,T,N,TAC,6.0,0.0,0.0,95.0,1494.0
2011,9,BOG,TME,D328,R,N,SERVICIO AEREO A TERRITORIOS NACIONALES SATENA,5.0,160.0,3750.0,105.0,189.0
2011,10,BOG,AUC,JS32,T,nan,SARPA S.A.S,3.0,0.0,0.0,21.0,0.0
2011,8,PZA,VVC,P28A,T,N,SAER,nan,0.0,0.0,4.0,218.4
2010,11,SVI,FLA,C208,T,N,VIAS AEREAS NACIONALES VIANA S.A.S.,nan,0.0,0.0,23.0,0.0
