sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio,Ano
7FO,,LA ISLA,Puerto Gaitán,Meta,Aeródromo,4.4211,-71.6271,LA ISLA Y EL ROSARIO S.A.,LA CEIBA S.A.,1079.0,19.0,3000.0,538.0," 1325,000",2015-06-05,2018-06-11,1A,Fumigación,2.0,50,50568,2015
7FO,,LA ISLA,Puerto Gaitán,Meta,Aeródromo,4.4211,-71.6271,LA ISLA Y EL ROSARIO S.A.,LA CEIBA S.A.,1321.0,38.0,3000.0,538.0," 1325,000",2015-06-05,2018-06-11,1A,Fumigación,2.0,50,50568,2016
7FU,,LA ESCONDIDA,Puerto Gaitán,Meta,Aeródromo,4.6108,-71.1935,PALMAS SICARARE S.A.S.,COSARGO S.A.S.,2141.0,17.0,5000.0,564.0," 1843,000",2013-04-26,2016-05-07,1A,Aerocivil,24.0,50,50568,2014
7FU,,LA ESCONDIDA,Puerto Gaitán,Meta,Aeródromo,4.6108,-71.1935,PALMAS SICARARE S.A.S.,COSARGO S.A.S.,3853.0,5.0,5000.0,564.0," 1843,000",2013-04-26,2016-05-07,1A,Aerocivil,24.0,50,50568,2015
7FU,,LA ESCONDIDA,Puerto Gaitán,Meta,Aeródromo,4.6108,-71.1935,PALMAS SICARARE S.A.S.,COSARGO S.A.S.,6667.0,5.0,5000.0,564.0," 1843,000",2013-04-26,2016-05-07,1A,Público,12.0,50,50568,2016
7FW,,MORICHITO,Hato Corozal,Casanare,Aeródromo,5.9188,-71.7932,CARMEN NARANJO,ROBERTO C. RIAÑO P.,1361.0,14.0,3500.0,720.0," 2220,000",2009-05-07,,1A,Privado,0.0,85,85125,2014
7FW,,MORICHITO,Hato Corozal,Casanare,Aeródromo,5.9188,-71.7932,CARMEN NARANJO,ROBERTO C. RIAÑO P.,1442.0,4.0,3500.0,720.0," 2220,000",2009-05-07,,1A,Fumigación,0.0,85,85125,2015
7FW,,MORICHITO,Hato Corozal,Casanare,Aeródromo,5.9188,-71.7932,CARMEN NARANJO,ROBERTO C. RIAÑO P.,2411.0,1.0,3500.0,720.0," 2220,000",2009-05-07,,1A,Aerocivil,0.0,85,85125,2016
7FX,,CAROLINA DEL PRINCIPE,Carolina,Antioquia,Aeródromo,6.7248,-75.2909,MUNICIPIO,MUNICIPIO,452.0,0.0,1000.0,6004.0," 6470,000",2013-11-19,,1A,Público,0.0,5,5150,2014
7FX,,CAROLINA DEL PRINCIPE,Carolina,Antioquia,Aeródromo,6.7248,-75.2909,MUNICIPIO,MUNICIPIO,518.0,0.0,1000.0,6004.0," 6470,000",2013-11-19,,1A,Fumigación,0.0,5,5150,2015
7FX,,CAROLINA DEL PRINCIPE,Carolina,Antioquia,Aeródromo,6.7248,-75.2909,MUNICIPIO,MUNICIPIO,982.0,0.0,1000.0,6004.0," 6470,000",2013-11-19,,1A,Público,0.0,5,5150,2016
7FY,,DUBAI,Ayapel,Córdoba,Aeródromo,8.296,-75.0307,ANDRES D. LONDOÑO T.,ANDRES D. LONDOÑO T.,426.0,15.0,500.0,82.0," 1212,000",2013-03-20,,1A,Fumigación,0.0,23,23068,2014
7FY,,DUBAI,Ayapel,Córdoba,Aeródromo,8.296,-75.0307,ANDRES D. LONDOÑO T.,ANDRES D. LONDOÑO T.,814.0,15.0,500.0,82.0," 1212,000",2013-03-20,,1A,Aerocivil,0.0,23,23068,2015
7FY,,DUBAI,Ayapel,Córdoba,Aeródromo,8.296,-75.0307,ANDRES D. LONDOÑO T.,ANDRES D. LONDOÑO T.,1592.0,21.0,500.0,82.0," 1212,000",2013-03-20,,1A,Privado,0.0,23,23068,2016
7FZ,,EL TRIUNFO,Orocué,Casanare,Aeródromo,4.8095,-71.667,ERNESTO J. PEREZ VILLAMIZAR,EL MISMO,630.0,25.0,3000.0,475.0," 5532,000",2014-11-11,,1A,Privado,2.0,85,85230,2014
7FZ,,EL TRIUNFO,Orocué,Casanare,Aeródromo,4.8095,-71.667,ERNESTO J. PEREZ VILLAMIZAR,EL MISMO,363.0,42.0,3000.0,475.0," 5532,000",2014-11-11,,1A,Público,2.0,85,85230,2015
7FZ,,EL TRIUNFO,Orocué,Casanare,Aeródromo,4.8095,-71.667,ERNESTO J. PEREZ VILLAMIZAR,EL MISMO,5.0,66.0,3000.0,475.0," 5532,000",2014-11-11,,1A,Aerocivil,2.0,85,85230,2016
7GA,,BARU - HIDROPUERTO,Cartagena de Indias,Bolívar,Aeródromo,10.2321,-75.5877,MAURICIO E. VASQUEZ M.,EL MISMO,269.0,27.0,500.0,0.0," 6067,000",2012-10-25,2015-11-07,1A,Público,0.0,13,13001,2014
7GA,,BARU - HIDROPUERTO,Cartagena de Indias,Bolívar,Aeródromo,10.2321,-75.5877,MAURICIO E. VASQUEZ M.,EL MISMO,204.0,46.0,500.0,0.0," 6067,000",2012-10-25,2015-11-07,1A,Público,0.0,13,13001,2015
7GA,,BARU - HIDROPUERTO,Cartagena de Indias,Bolívar,Aeródromo,10.2321,-75.5877,MAURICIO E. VASQUEZ M.,EL MISMO,106.0,69.0,500.0,0.0," 6067,000",2012-10-25,2015-11-07,1A,Público,0.0,13,13001,2016
7GB,,LA CAROLINA,El Paso,Cesar,Aeródromo,9.528,-73.7866,JORGE AGUDELO RESTREPO,JORGE AGUDELO REST.,249.0,8.0,500.0,690.0," 5474,000",2009-10-06,,UL,Público,0.0,20,20250,2014
7GB,,LA CAROLINA,El Paso,Cesar,Aeródromo,9.528,-73.7866,JORGE AGUDELO RESTREPO,JORGE AGUDELO REST.,189.0,5.0,500.0,690.0," 5474,000",2009-10-06,,UL,Aerocivil,0.0,20,20250,2015
7GB,,LA CAROLINA,El Paso,Cesar,Aeródromo,9.528,-73.7866,JORGE AGUDELO RESTREPO,JORGE AGUDELO REST.,46.0,4.0,500.0,690.0," 5474,000",2009-10-06,,UL,Aerocivil,0.0,20,20250,2016
7GC,,SAN FELIPE DEL PAUTO,Trinidad,Casanare,Aeródromo,5.2032,-70.8951,AGRAS S.A.S,AGRAS S.A.S,939.0,4.0,3000.0,3125.0," 4505,000",2012-08-16,,1A,Privado,275.0,85,85430,2014
