StockItemID,StockItemName,SupplierID,ColorID,UnitPackageID,OuterPackageID,Brand,Size,LeadTimeDays,QuantityPerOuter,IsChillerStock,Barcode,TaxRate,UnitPrice,RecommendedRetailPrice,TypicalWeightPerUnit,MarketingComments,InternalComments,Photo,CustomFields,Tags,SearchDetails,LastEditedBy,ValidFrom,ValidTo
1,USB missile launcher (Green),12,3,7,7,NULL,NULL,14,1,0,NULL,15,25,37.38,0.3,Complete with 12 projectiles,NULL,NULL,"{ ""CountryOfManufacture"": ""China"", ""Tags"": [""USB Powered""] }","[""USB Powered""]",USB missile launcher (Green) Complete with 12 projectiles,1,11:00.0,###############################################################################################################################################################################################################################################################
2,USB rocket launcher (Gray),12,12,7,7,NULL,NULL,14,1,0,NULL,15,25,37.38,0.3,Complete with 12 projectiles,NULL,NULL,"{ ""CountryOfManufacture"": ""China"", ""Tags"": [""USB Powered""] }","[""USB Powered""]",USB rocket launcher (Gray) Complete with 12 projectiles,1,11:00.0,###############################################################################################################################################################################################################################################################
3,Office cube periscope (Black),12,3,7,6,NULL,NULL,14,10,0,NULL,15,18.5,27.66,0.25,Need to see over your cubicle wall? This is just what's needed.,NULL,NULL,"{ ""CountryOfManufacture"": ""China"", ""Tags"": [] }",[],Office cube periscope (Black) Need to see over your cubicle wall? This is just what's needed.,1,00:00.0,###############################################################################################################################################################################################################################################################
4,USB food flash drive - sushi roll,12,NULL,7,7,NULL,NULL,14,1,0,NULL,15,32,47.84,0.05,NULL,NULL,NULL,"{ ""CountryOfManufacture"": ""Japan"", ""Tags"": [""32GB"",""USB Powered""] }","[""32GB"",""USB Powered""]",USB food flash drive - sushi roll ,1,11:00.0,###############################################################################################################################################################################################################################################################
5,USB food flash drive - hamburger,12,NULL,7,7,NULL,NULL,14,1,0,NULL,15,32,47.84,0.05,NULL,NULL,NULL,"{ ""CountryOfManufacture"": ""Japan"", ""Tags"": [""16GB"",""USB Powered""] }","[""16GB"",""USB Powered""]",USB food flash drive - hamburger ,1,11:00.0,###############################################################################################################################################################################################################################################################
6,USB food flash drive - hot dog,12,10,7,7,NULL,NULL,14,1,0,NULL,15,32,47.84,0.05,NULL,NULL,NULL,"{ ""CountryOfManufacture"": ""Japan"", ""Tags"": [""32GB"",""USB Powered""] }","[""32GB"",""USB Powered""]",USB food flash drive - hot dog ,1,11:00.0,###############################################################################################################################################################################################################################################################
7,USB food flash drive - pizza slice,12,NULL,7,7,NULL,NULL,14,1,0,NULL,15,32,47.84,0.05,NULL,NULL,NULL,"{ ""CountryOfManufacture"": ""Japan"", ""Tags"": [""16GB"",""USB Powered""] }","[""16GB"",""USB Powered""]",USB food flash drive - pizza slice ,1,11:00.0,###############################################################################################################################################################################################################################################################
8,USB food flash drive - dim sum 10 drive variety pack,12,2,9,9,NULL,NULL,14,1,0,NULL,15,240,358.8,0.5,NULL,NULL,NULL,"{ ""CountryOfManufacture"": ""Japan"", ""Tags"": [""32GB"",""USB Powered""] }","[""32GB"",""USB Powered""]",USB food flash drive - dim sum 10 drive variety pack ,1,11:00.0,###############################################################################################################################################################################################################################################################
9,USB food flash drive - banana,12,NULL,7,7,NULL,NULL,14,1,0,NULL,15,32,47.84,0.05,NULL,NULL,NULL,"{ ""CountryOfManufacture"": ""Japan"", ""Tags"": [""16GB"",""USB Powered""] }","[""16GB"",""USB Powered""]",USB food flash drive - banana ,1,11:00.0,###############################################################################################################################################################################################################################################################
10,USB food flash drive - chocolate bar,12,4,7,7,NULL,NULL,14,1,0,NULL,15,32,47.84,0.05,NULL,NULL,NULL,"{ ""CountryOfManufacture"": ""Japan"", ""Tags"": [""32GB"",""USB Powered""] }","[""32GB"",""USB Powered""]",USB food flash drive - chocolate bar ,1,11:00.0,###############################################################################################################################################################################################################################################################
11,USB food flash drive - cookie,12,NULL,7,7,NULL,NULL,14,1,0,NULL,15,32,47.84,0.05,NULL,NULL,NULL,"{ ""CountryOfManufacture"": ""Japan"", ""Tags"": [""16GB"",""USB Powered""] }","[""16GB"",""USB Powered""]",USB food flash drive - cookie ,1,11:00.0,###############################################################################################################################################################################################################################################################
12,USB food flash drive - donut,12,5,7,7,NULL,NULL,14,1,0,NULL,15,32,47.84,0.05,NULL,NULL,NULL,"{ ""CountryOfManufacture"": ""Japan"", ""Tags"": [""32GB"",""USB Powered""] }","[""32GB"",""USB Powered""]",USB food flash drive - donut ,1,11:00.0,###############################################################################################################################################################################################################################################################
