TransactionTypeID,TransactionTypeName,LastEditedBy,ValidFrom,ValidTo
1,Customer Invoice,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
2,Customer Credit Note,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
3,Customer Payment Received,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
4,Customer Refund,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
5,Supplier Invoice,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
6,Supplier Credit Note,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
7,Supplier Payment Issued,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
8,Supplier Refund,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
9,Stock Transfer,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
10,Stock Issue,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
11,Stock Receipt,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
12,Stock Adjustment at Stocktake,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
13,Customer Contra,9,2016-01-01 16:05:00.0000000,9999-12-31 23:59:59.9999999
