PurchaseOrderLineID,PurchaseOrderID,StockItemID,OrderedOuters,Description,ReceivedOuters,PackageTypeID,ExpectedUnitPricePerOuter,LastReceiptDate,IsOrderLineFinalized,LastEditedBy,LastEditedWhen
1,1,150,18,Pack of 12 action figures (variety),18,9,5.50,2013-01-02,1,6,2013-01-02 07:00:00.0000000
2,1,151,21,Pack of 12 action figures (male),21,9,5.50,2013-01-02,1,6,2013-01-02 07:00:00.0000000
3,1,152,18,Pack of 12 action figures (female),18,9,5.50,2013-01-02,1,6,2013-01-02 07:00:00.0000000
4,2,76,8,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",8,6,84.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
5,2,77,1,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1,6,84.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
6,2,78,1,"""The Gu"" red shirt XML tag t-shirt (White) XS",1,6,84.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
7,2,80,2,"""The Gu"" red shirt XML tag t-shirt (White) M",2,6,84.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
8,2,81,7,"""The Gu"" red shirt XML tag t-shirt (White) L",7,6,84.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
9,2,84,3,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",3,6,96.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
10,2,85,5,"""The Gu"" red shirt XML tag t-shirt (White) 4XL",5,6,96.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
11,2,86,1,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",1,6,96.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
12,2,88,9,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",9,6,102.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
13,2,89,6,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS",6,6,84.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
14,2,92,6,"""The Gu"" red shirt XML tag t-shirt (Black) S",6,6,84.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
15,2,94,9,"""The Gu"" red shirt XML tag t-shirt (Black) L",9,6,84.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
16,2,95,2,"""The Gu"" red shirt XML tag t-shirt (Black) XL",2,6,90.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
17,2,98,1,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",1,6,96.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
18,2,99,14,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",14,6,96.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
19,2,100,14,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",14,6,96.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
20,2,102,6,Alien officer hoodie (Black) XL,6,7,17.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
21,2,104,10,Alien officer hoodie (Black) 3XL,10,7,17.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
22,2,109,16,Superhero action jacket (Blue) XS,16,7,19.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
23,2,110,12,Superhero action jacket (Blue) S,12,7,19.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
24,2,111,7,Superhero action jacket (Blue) M,7,7,22.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
25,2,113,6,Superhero action jacket (Blue) XL,6,7,22.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
26,2,115,11,Superhero action jacket (Blue) 3XL,11,7,24.00,2013-01-02,1,6,2013-01-02 07:00:00.0000000
27,2,121,22,Dinosaur battery-powered slippers (Green) XL,22,7,8.50,2013-01-02,1,6,2013-01-02 07:00:00.0000000
