SupplierTransactionID,SupplierID,TransactionTypeID,PurchaseOrderID,PaymentMethodID,SupplierInvoiceNumber,TransactionDate,AmountExcludingTax,TaxAmount,TransactionAmount,OutstandingBalance,FinalizationDate,IsFinalized,LastEditedBy,LastEditedWhen
134,2,5,1,4,7290,2013-01-02,313.50,47.03,360.53,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
169,4,5,2,4,3898,2013-01-02,21732.00,3259.80,24991.80,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
186,5,5,3,4,616,2013-01-02,2740.50,411.11,3151.61,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
215,7,5,4,4,3869,2013-01-02,42481.20,6372.19,48853.39,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
224,10,5,5,4,4697,2013-01-02,35067.50,5260.14,40327.64,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
230,12,5,6,4,1375,2013-01-02,5528.50,829.28,6357.78,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
565,4,5,7,4,3261,2013-01-03,10000.50,1500.08,11500.58,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
570,5,5,8,4,1762,2013-01-03,657.00,98.56,755.56,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
588,7,5,9,4,9301,2013-01-03,9281.50,1392.24,10673.74,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
590,10,5,10,4,1853,2013-01-03,1037.50,155.63,1193.13,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
594,12,5,11,4,8170,2013-01-03,19869.50,2980.43,22849.93,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
932,4,5,12,4,5075,2013-01-04,6661.50,999.23,7660.73,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
935,5,5,13,4,134,2013-01-04,261.00,39.15,300.15,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
952,7,5,14,4,999,2013-01-04,16279.45,2441.92,18721.37,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
955,10,5,15,4,4943,2013-01-04,13325.00,1998.75,15323.75,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
959,12,5,16,4,9907,2013-01-04,3768.00,565.20,4333.20,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
1390,4,5,17,4,4291,2013-01-07,8808.00,1321.20,10129.20,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
1393,5,5,18,4,205,2013-01-07,288.00,43.21,331.21,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
1400,7,5,19,4,7476,2013-01-07,5230.20,784.53,6014.73,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
1402,10,5,20,4,364,2013-01-07,7250.00,1087.50,8337.50,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
1408,4,5,21,4,252,2013-01-07,5116.00,767.40,5883.40,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
1410,5,5,22,4,9981,2013-01-07,157.50,23.63,181.13,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
1417,7,5,23,4,9410,2013-01-07,3639.55,545.93,4185.48,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
1419,10,5,24,4,951,2013-01-07,1245.00,186.75,1431.75,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
1422,12,5,25,4,4585,2013-01-07,19278.00,2891.70,22169.70,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
1423,2,7,NULL,4,NULL,2013-01-07,0.00,0.00,-360.53,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
1424,4,7,NULL,4,NULL,2013-01-07,0.00,0.00,-60165.71,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
1425,5,7,NULL,4,NULL,2013-01-07,0.00,0.00,-4719.66,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
