ColorID,ColorName,LastEditedBy,ValidFrom,ValidTo
1,Azure,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
2,Beige,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
3,Black,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
4,Blue,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
5,Charcoal,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
6,Chartreuse,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
7,Cyan,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
8,Dark Brown,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
9,Dark Green,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
10,Fuchsia,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
11,Gold,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
12,Steel Gray,9,2016-01-01 16:00:00.0000000,9999-12-31 23:59:59.9999999
13,Hot Pink,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
14,Indigo,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
15,Ivory,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
16,Khaki,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
17,Lavender,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
18,Light Brown,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
19,Light Green,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
20,Maroon,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
21,Mauve,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
22,Navy Blue,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
23,Olive,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
24,Orange,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
25,Plum,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
26,Puce,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
27,Purple,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
28,Red,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
29,Royal Blue,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
30,Salmon,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
31,Silver,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
32,Tan,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
33,Teal,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
34,Wheat,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
35,White,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
36,Yellow,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
