PackageTypeID,PackageTypeName,LastEditedBy,ValidFrom,ValidTo
1,Bag,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
2,Block,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
3,Bottle,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
4,Box,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
5,Can,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
6,Carton,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
7,Each,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
8,Kg,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
9,Packet,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
10,Pair,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
11,Pallet,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
12,Tray,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
13,"Tub ",1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
14,Tube,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
