StockGroupID,StockGroupName,LastEditedBy,ValidFrom,ValidTo
1,Novelty Items,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
2,Clothing,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
3,Mugs,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
4,T-Shirts,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
5,Airline Novelties,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
6,Computing Novelties,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
7,USB Novelties,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
8,Furry Footwear,9,2016-01-01 16:00:00.0000000,9999-12-31 23:59:59.9999999
9,Toys,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
10,Packaging Materials,1,2013-01-01 00:00:00.0000000,9999-12-31 23:59:59.9999999
