StockItemID,QuantityOnHand,BinLocation,LastStocktakeQuantity,LastCostPrice,ReorderLevel,TargetStockLevel,LastEditedBy,LastEditedWhen
1,175609,L-1,171341,9.50,20,100,16,2016-05-31 07:00:00.0000000
2,165538,L-1,161435,9.50,20,100,3,2016-05-31 12:00:00.0000000
3,253190,L-2,246900,11.25,10,120,3,2016-05-31 12:00:00.0000000
4,208109,L-3,202964,12.00,5,100,3,2016-05-31 12:00:00.0000000
5,199064,L-3,194162,12.00,5,100,3,2016-05-31 12:00:00.0000000
6,196995,L-3,192127,12.00,5,100,3,2016-05-31 12:00:00.0000000
7,205295,L-3,200201,12.00,5,100,16,2016-05-31 07:00:00.0000000
8,412277,L-3,401980,88.50,10,200,16,2016-05-31 07:00:00.0000000
9,192749,L-3,187968,12.00,5,100,3,2016-05-31 12:00:00.0000000
10,222572,L-3,217048,12.00,5,100,3,2016-05-31 12:00:00.0000000
11,203148,L-3,198084,12.00,5,100,3,2016-05-31 12:00:00.0000000
12,200406,L-3,195396,12.00,5,100,3,2016-05-31 12:00:00.0000000
13,197453,L-3,192553,12.00,5,100,3,2016-05-31 12:00:00.0000000
14,192358,L-3,187553,12.00,5,100,3,2016-05-31 12:00:00.0000000
15,398290,L-3,388445,88.50,10,200,16,2016-05-31 07:00:00.0000000
16,51836,K-9,50541,4.50,15,40,16,2016-05-31 07:00:00.0000000
17,62428,K-9,60923,4.50,15,40,3,2016-05-31 12:00:00.0000000
18,89207,K-9,86985,4.50,15,40,16,2016-05-31 07:00:00.0000000
19,68800,K-9,67153,4.50,15,40,3,2016-05-31 12:00:00.0000000
20,66722,K-9,65070,4.50,15,40,3,2016-05-31 12:00:00.0000000
21,68683,K-9,67023,4.50,15,40,3,2016-05-31 12:00:00.0000000
22,72747,K-9,70913,4.50,15,40,16,2016-05-31 07:00:00.0000000
23,56283,K-9,54910,4.50,15,40,3,2016-05-31 12:00:00.0000000
24,57083,K-9,55653,4.50,15,40,3,2016-05-31 12:00:00.0000000
25,47106,K-9,45926,4.50,15,40,3,2016-05-31 12:00:00.0000000
26,61071,K-9,59557,4.50,15,40,3,2016-05-31 12:00:00.0000000
27,47747,K-9,46561,4.50,15,40,16,2016-05-31 07:00:00.0000000
28,53851,K-9,52451,4.50,15,40,3,2016-05-31 12:00:00.0000000
29,80978,K-9,78955,4.50,15,40,16,2016-05-31 07:00:00.0000000
30,49248,K-9,48000,4.50,15,40,3,2016-05-31 12:00:00.0000000
