StockItemStockGroupID,StockItemID,StockGroupID,LastEditedBy,LastEditedWhen
1,1,6,1,2013-01-01 00:00:00.0000000
2,1,1,1,2013-01-01 00:00:00.0000000
3,1,7,1,2013-01-01 00:00:00.0000000
4,2,6,1,2013-01-01 00:00:00.0000000
5,2,1,1,2013-01-01 00:00:00.0000000
6,2,7,1,2013-01-01 00:00:00.0000000
7,3,6,1,2013-01-01 00:00:00.0000000
8,3,1,1,2013-01-01 00:00:00.0000000
9,4,6,1,2013-01-01 00:00:00.0000000
10,4,1,1,2013-01-01 00:00:00.0000000
11,4,7,1,2013-01-01 00:00:00.0000000
12,5,6,1,2013-01-01 00:00:00.0000000
13,5,1,1,2013-01-01 00:00:00.0000000
14,5,7,1,2013-01-01 00:00:00.0000000
15,6,6,1,2013-01-01 00:00:00.0000000
16,6,1,1,2013-01-01 00:00:00.0000000
17,6,7,1,2013-01-01 00:00:00.0000000
18,7,6,1,2013-01-01 00:00:00.0000000
19,7,1,1,2013-01-01 00:00:00.0000000
20,7,7,1,2013-01-01 00:00:00.0000000
21,8,6,1,2013-01-01 00:00:00.0000000
22,8,1,1,2013-01-01 00:00:00.0000000
23,8,7,1,2013-01-01 00:00:00.0000000
24,9,6,1,2013-01-01 00:00:00.0000000
25,9,1,1,2013-01-01 00:00:00.0000000
26,9,7,1,2013-01-01 00:00:00.0000000
27,10,6,1,2013-01-01 00:00:00.0000000
28,10,1,1,2013-01-01 00:00:00.0000000
29,10,7,1,2013-01-01 00:00:00.0000000
30,11,6,1,2013-01-01 00:00:00.0000000
31,11,1,1,2013-01-01 00:00:00.0000000
32,11,7,1,2013-01-01 00:00:00.0000000
33,12,6,1,2013-01-01 00:00:00.0000000
34,12,1,1,2013-01-01 00:00:00.0000000
35,12,7,1,2013-01-01 00:00:00.0000000
36,13,6,1,2013-01-01 00:00:00.0000000
37,13,1,1,2013-01-01 00:00:00.0000000
38,13,7,1,2013-01-01 00:00:00.0000000
39,14,6,1,2013-01-01 00:00:00.0000000
40,14,1,1,2013-01-01 00:00:00.0000000
41,14,7,1,2013-01-01 00:00:00.0000000
42,15,6,1,2013-01-01 00:00:00.0000000
43,15,1,1,2013-01-01 00:00:00.0000000
44,15,7,1,2013-01-01 00:00:00.0000000
45,16,6,1,2013-01-01 00:00:00.0000000
46,16,3,1,2013-01-01 00:00:00.0000000
47,16,1,1,2013-01-01 00:00:00.0000000
48,17,6,1,2013-01-01 00:00:00.0000000
49,17,3,1,2013-01-01 00:00:00.0000000
50,17,1,1,2013-01-01 00:00:00.0000000
51,18,6,1,2013-01-01 00:00:00.0000000
52,18,3,1,2013-01-01 00:00:00.0000000
53,18,1,1,2013-01-01 00:00:00.0000000
54,19,6,1,2013-01-01 00:00:00.0000000
55,19,3,1,2013-01-01 00:00:00.0000000
56,19,1,1,2013-01-01 00:00:00.0000000
57,20,6,1,2013-01-01 00:00:00.0000000
58,20,3,1,2013-01-01 00:00:00.0000000
59,20,1,1,2013-01-01 00:00:00.0000000
60,21,6,1,2013-01-01 00:00:00.0000000
61,21,3,1,2013-01-01 00:00:00.0000000
62,21,1,1,2013-01-01 00:00:00.0000000
63,22,6,1,2013-01-01 00:00:00.0000000
64,22,3,1,2013-01-01 00:00:00.0000000
65,22,1,1,2013-01-01 00:00:00.0000000
66,23,6,1,2013-01-01 00:00:00.0000000
67,23,3,1,2013-01-01 00:00:00.0000000
68,23,1,1,2013-01-01 00:00:00.0000000
69,24,6,1,2013-01-01 00:00:00.0000000
70,24,3,1,2013-01-01 00:00:00.0000000
71,24,1,1,2013-01-01 00:00:00.0000000
72,25,6,1,2013-01-01 00:00:00.0000000
73,25,3,1,2013-01-01 00:00:00.0000000
74,25,1,1,2013-01-01 00:00:00.0000000
75,26,6,1,2013-01-01 00:00:00.0000000
76,26,3,1,2013-01-01 00:00:00.0000000
77,26,1,1,2013-01-01 00:00:00.0000000
78,27,6,1,2013-01-01 00:00:00.0000000
79,27,3,1,2013-01-01 00:00:00.0000000
80,27,1,1,2013-01-01 00:00:00.0000000
81,28,6,1,2013-01-01 00:00:00.0000000
82,28,3,1,2013-01-01 00:00:00.0000000
83,28,1,1,2013-01-01 00:00:00.0000000
84,29,6,1,2013-01-01 00:00:00.0000000
85,29,3,1,2013-01-01 00:00:00.0000000
86,29,1,1,2013-01-01 00:00:00.0000000
87,30,6,1,2013-01-01 00:00:00.0000000
88,30,3,1,2013-01-01 00:00:00.0000000
89,30,1,1,2013-01-01 00:00:00.0000000
90,31,6,1,2013-01-01 00:00:00.0000000
91,31,3,1,2013-01-01 00:00:00.0000000
92,31,1,1,2013-01-01 00:00:00.0000000
93,32,6,1,2013-01-01 00:00:00.0000000
94,32,3,1,2013-01-01 00:00:00.0000000
95,32,1,1,2013-01-01 00:00:00.0000000
96,33,6,1,2013-01-01 00:00:00.0000000
97,33,3,1,2013-01-01 00:00:00.0000000
98,33,1,1,2013-01-01 00:00:00.0000000
99,34,6,1,2013-01-01 00:00:00.0000000
100,34,3,1,2013-01-01 00:00:00.0000000
101,34,1,1,2013-01-01 00:00:00.0000000
102,35,6,1,2013-01-01 00:00:00.0000000
103,35,3,1,2013-01-01 00:00:00.0000000
104,35,1,1,2013-01-01 00:00:00.0000000
105,36,6,1,2013-01-01 00:00:00.0000000
106,36,3,1,2013-01-01 00:00:00.0000000
107,36,1,1,2013-01-01 00:00:00.0000000
108,37,6,1,2013-01-01 00:00:00.0000000
109,37,3,1,2013-01-01 00:00:00.0000000
110,37,1,1,2013-01-01 00:00:00.0000000
111,38,6,1,2013-01-01 00:00:00.0000000
112,38,3,1,2013-01-01 00:00:00.0000000
113,38,1,1,2013-01-01 00:00:00.0000000
114,39,6,1,2013-01-01 00:00:00.0000000
115,39,3,1,2013-01-01 00:00:00.0000000
116,39,1,1,2013-01-01 00:00:00.0000000
117,40,6,1,2013-01-01 00:00:00.0000000
118,40,3,1,2013-01-01 00:00:00.0000000
119,40,1,1,2013-01-01 00:00:00.0000000
120,41,6,1,2013-01-01 00:00:00.0000000
121,41,3,1,2013-01-01 00:00:00.0000000
122,41,1,1,2013-01-01 00:00:00.0000000
123,42,6,1,2013-01-01 00:00:00.0000000
124,42,3,1,2013-01-01 00:00:00.0000000
125,42,1,1,2013-01-01 00:00:00.0000000
126,43,6,1,2013-01-01 00:00:00.0000000
127,43,3,1,2013-01-01 00:00:00.0000000
128,43,1,1,2013-01-01 00:00:00.0000000
129,44,6,1,2013-01-01 00:00:00.0000000
130,44,3,1,2013-01-01 00:00:00.0000000
131,44,1,1,2013-01-01 00:00:00.0000000
132,45,6,1,2013-01-01 00:00:00.0000000
133,45,3,1,2013-01-01 00:00:00.0000000
134,45,1,1,2013-01-01 00:00:00.0000000
135,46,6,1,2013-01-01 00:00:00.0000000
136,46,3,1,2013-01-01 00:00:00.0000000
137,46,1,1,2013-01-01 00:00:00.0000000
138,47,6,1,2013-01-01 00:00:00.0000000
139,47,3,1,2013-01-01 00:00:00.0000000
140,47,1,1,2013-01-01 00:00:00.0000000
141,48,6,1,2013-01-01 00:00:00.0000000
142,48,3,1,2013-01-01 00:00:00.0000000
143,48,1,1,2013-01-01 00:00:00.0000000
144,49,6,1,2013-01-01 00:00:00.0000000
145,49,3,1,2013-01-01 00:00:00.0000000
146,49,1,1,2013-01-01 00:00:00.0000000
147,50,6,1,2013-01-01 00:00:00.0000000
148,50,3,1,2013-01-01 00:00:00.0000000
149,50,1,1,2013-01-01 00:00:00.0000000
150,51,6,1,2013-01-01 00:00:00.0000000
151,51,3,1,2013-01-01 00:00:00.0000000
152,51,1,1,2013-01-01 00:00:00.0000000
153,52,6,1,2013-01-01 00:00:00.0000000
154,52,3,1,2013-01-01 00:00:00.0000000
155,52,1,1,2013-01-01 00:00:00.0000000
156,53,6,1,2013-01-01 00:00:00.0000000
157,53,3,1,2013-01-01 00:00:00.0000000
158,53,1,1,2013-01-01 00:00:00.0000000
159,54,6,1,2013-01-01 00:00:00.0000000
160,54,3,1,2013-01-01 00:00:00.0000000
161,54,1,1,2013-01-01 00:00:00.0000000
162,55,6,1,2013-01-01 00:00:00.0000000
163,55,3,1,2013-01-01 00:00:00.0000000
164,55,1,1,2013-01-01 00:00:00.0000000
